Time [sec]		Acceleration [m/sec2]	Velocity [m/sec] 	Displacement [m] 
0.00000   		0.00003         	0.00000          	0.00000          
0.01000   		0.00019         	0.00000          	0.00000          
0.02000   		0.00069         	0.00001          	0.00000          
0.03000   		0.00164         	0.00002          	0.00000          
0.04000   		0.00298         	0.00004          	0.00000          
0.05000   		0.00444         	0.00008          	0.00000          
0.06000   		0.00572         	0.00013          	0.00000          
0.07000   		0.00660         	0.00019          	0.00000          
0.08000   		0.00700         	0.00026          	0.00001          
0.09000   		0.00695         	0.00033          	0.00001          
0.10000   		0.00657         	0.00040          	0.00001          
0.11000   		0.00597         	0.00046          	0.00002          
0.12000   		0.00533         	0.00051          	0.00002          
0.13000   		0.00476         	0.00056          	0.00003          
0.14000   		0.00430         	0.00061          	0.00003          
0.15000   		0.00386         	0.00065          	0.00004          
0.16000   		0.00337         	0.00069          	0.00005          
0.17000   		0.00281         	0.00072          	0.00005          
0.18000   		0.00203         	0.00074          	0.00006          
0.19000   		0.00080         	0.00076          	0.00007          
0.20000   		-0.00078        	0.00076          	0.00008          
0.21000   		-0.00207        	0.00074          	0.00008          
0.22000   		-0.00236        	0.00072          	0.00009          
0.23000   		-0.00158        	0.00070          	0.00010          
0.24000   		-0.00044        	0.00069          	0.00010          
0.25000   		0.00035         	0.00069          	0.00011          
0.26000   		0.00061         	0.00069          	0.00012          
0.27000   		0.00032         	0.00070          	0.00012          
0.28000   		-0.00065        	0.00070          	0.00013          
0.29000   		-0.00224        	0.00068          	0.00014          
0.30000   		-0.00408        	0.00065          	0.00015          
0.31000   		-0.00568        	0.00060          	0.00015          
0.32000   		-0.00688        	0.00054          	0.00016          
0.33000   		-0.00795        	0.00047          	0.00016          
0.34000   		-0.00909        	0.00038          	0.00017          
0.35000   		-0.00980        	0.00029          	0.00017          
0.36000   		-0.00962        	0.00019          	0.00017          
0.37000   		-0.00918        	0.00010          	0.00017          
0.38000   		-0.00973        	0.00000          	0.00017          
0.39000   		-0.01169        	-0.00011         	0.00017          
0.40000   		-0.01430        	-0.00024         	0.00017          
0.41000   		-0.01646        	-0.00039         	0.00017          
0.42000   		-0.01744        	-0.00056         	0.00016          
0.43000   		-0.01687        	-0.00073         	0.00016          
0.44000   		-0.01467        	-0.00089         	0.00015          
0.45000   		-0.01120        	-0.00102         	0.00014          
0.46000   		-0.00718        	-0.00111         	0.00013          
0.47000   		-0.00337        	-0.00116         	0.00012          
0.48000   		-0.00057        	-0.00118         	0.00011          
0.49000   		0.00002         	-0.00119         	0.00009          
0.50000   		-0.00299        	-0.00120         	0.00008          
0.51000   		-0.00998        	-0.00127         	0.00007          
0.52000   		-0.01888        	-0.00141         	0.00006          
0.53000   		-0.02510        	-0.00163         	0.00004          
0.54000   		-0.02457        	-0.00188         	0.00002          
0.55000   		-0.01762        	-0.00209         	0.00000          
0.56000   		-0.00865        	-0.00222         	-0.00002         
0.57000   		-0.00218        	-0.00227         	-0.00004         
0.58000   		-0.00018        	-0.00229         	-0.00006         
0.59000   		-0.00257        	-0.00230         	-0.00009         
0.60000   		-0.00936        	-0.00236         	-0.00011         
0.61000   		-0.02113        	-0.00251         	-0.00013         
0.62000   		-0.03680        	-0.00280         	-0.00016         
0.63000   		-0.05241        	-0.00325         	-0.00019         
0.64000   		-0.06320        	-0.00383         	-0.00022         
0.65000   		-0.06585        	-0.00447         	-0.00027         
0.66000   		-0.05979        	-0.00510         	-0.00031         
